entry,nc_max,x3_max,log2fc,abs_log2fc,Change
Q92752,18.97071,3.453142,15.517568,15.517568,Increase
Q9UIG8,19.24775,7.005556,12.242194,12.242194,Increase
Q7Z406,21.51467,9.415176,12.099493999999998,12.099493999999998,Increase
P00387,22.28368,10.6606,11.62308,11.62308,Increase
P23468,21.74833,10.19411,11.554219999999999,11.554219999999999,Increase
O15075,23.44571,12.06947,11.376239999999997,11.376239999999997,Increase
Q96IZ6,21.36666,10.29102,11.07564,11.07564,Increase
P19971,25.48663,14.42738,11.059250000000002,11.059250000000002,Increase
Q9Y223,21.82081,10.79517,11.025640000000001,11.025640000000001,Increase
O60266,21.11351,10.38355,10.729960000000002,10.729960000000002,Increase
P40763,23.65406,13.10682,10.54724,10.54724,Increase
P12525,21.36568,11.06162,10.304060000000002,10.304060000000002,Increase
P53667,21.38808,11.48105,9.907029999999999,9.907029999999999,Increase
Q8TEM1,24.53915,14.69214,9.84701,9.84701,Increase
Q9Y5A7,27.40403,17.60961,9.794419999999999,9.794419999999999,Increase
Q8NFX7,23.65291,13.87268,9.780229999999998,9.780229999999998,Increase
Q86UP3,17.11415,7.380106,9.734043999999999,9.734043999999999,Increase
Q9BVA6,22.47938,12.75431,9.725069999999999,9.725069999999999,Increase
Q6ZNE5,22.48708,12.76292,9.72416,9.72416,Increase
Q9BZQ2,20.69179,10.98602,9.705770000000001,9.705770000000001,Increase
P24833,20.88634,11.21329,9.67305,9.67305,Increase
Q9BRT6,24.26797,14.84954,9.418429999999999,9.418429999999999,Increase
O95602,21.98991,12.66829,9.321619999999998,9.321619999999998,Increase
P69905,25.33031,16.0896,9.24071,9.24071,Increase
P04264,19.32468,10.11723,9.207450000000001,9.207450000000001,Increase
P26640,23.70044,14.49916,9.20128,9.20128,Increase
O95490,23.73079,14.57695,9.153839999999999,9.153839999999999,Increase
Q5T8A7,20.37826,11.227,9.15126,9.15126,Increase
Q9H7Z3,23.7475,14.62325,9.124249999999998,9.124249999999998,Increase
Q9Y4G2,21.93628,12.84444,9.09184,9.09184,Increase
Q99758,22.54653,13.51272,9.03381,9.03381,Increase
Q9H6S3,22.52789,13.49434,9.03355,9.03355,Increase
P49418,20.86869,11.92899,8.9397,8.9397,Increase
O95897,18.90331,9.964609,8.938701000000002,8.938701000000002,Increase
P27105,21.14982,12.25327,8.896549999999998,8.896549999999998,Increase
Q9HCN4,24.55196,15.69352,8.858440000000002,8.858440000000002,Increase
Q96LZ3,22.88194,14.0646,8.81734,8.81734,Increase
Q9UFD9,24.84213,16.06129,8.780840000000001,8.780840000000001,Increase
Q9H9E3,25.59587,16.8716,8.72427,8.72427,Increase
O76074,21.00419,12.32761,8.676580000000001,8.676580000000001,Increase
Q8N0X7,24.92562,16.29136,8.634259999999998,8.634259999999998,Increase
P20472,21.59984,12.98305,8.61679,8.61679,Increase
O60675,24.45913,15.84639,8.612739999999999,8.612739999999999,Increase
Q8IYS0,18.92079,10.32577,8.59502,8.59502,Increase
A6NHR8,23.73821,15.14375,8.594459999999998,8.594459999999998,Increase
Q96ST8,23.34195,14.75912,8.582830000000001,8.582830000000001,Increase
P17658,20.00782,11.50167,8.506149999999998,8.506149999999998,Increase
Q99996,24.57686,16.091919999999998,8.484940000000002,8.484940000000002,Increase
Q5VTQ0,24.14495,15.69595,8.449000000000002,8.449000000000002,Increase
P60602,21.4169,13.00985,8.407049999999998,8.407049999999998,Increase
Q13118,7.332071,14.22383,-6.8917589999999995,6.8917589999999995,Decrease
P23246,12.95817,18.53979,-5.581619999999999,5.581619999999999,Decrease
O94983,12.11539,17.3544,-5.239009999999999,5.239009999999999,Decrease
O75592,15.80632,20.89193,-5.085609999999999,5.085609999999999,Decrease
Q9H1X3,10.15294,15.21934,-5.066400000000002,5.066400000000002,Decrease
Q9UIR0,13.08011,17.79352,-4.713410000000001,4.713410000000001,Decrease
A4D161,14.87512,19.02747,-4.15235,4.15235,Decrease
P02768,13.90801,17.84625,-3.9382400000000004,3.9382400000000004,Decrease
O43526,12.63504,16.47639,-3.8413499999999985,3.8413499999999985,Decrease
Q01415,13.48128,17.11887,-3.637590000000001,3.637590000000001,Decrease
Q9UKV8,12.45702,16.04329,-3.586269999999999,3.586269999999999,Decrease
O95391,9.008546,12.54898,-3.5404339999999994,3.5404339999999994,Decrease
Q8TD10,11.24784,14.77425,-3.5264100000000003,3.5264100000000003,Decrease
Q5VZE5,12.90578,16.42585,-3.5200700000000005,3.5200700000000005,Decrease
Q9BX26,15.36665,18.77907,-3.412420000000001,3.412420000000001,Decrease
Q00888,15.32375,18.71335,-3.389599999999998,3.389599999999998,Decrease
P36956,14.82924,18.1752,-3.34596,3.34596,Decrease
Q15061,13.51045,16.82381,-3.313360000000001,3.313360000000001,Decrease
P48380,12.21095,15.45576,-3.2448099999999993,3.2448099999999993,Decrease
Q6NUM6,14.79953,18.03462,-3.2350899999999996,3.2350899999999996,Decrease
Q9NXL9,13.359680000000001,16.5701,-3.210419999999999,3.210419999999999,Decrease
A8K010,14.14275,17.24812,-3.1053700000000006,3.1053700000000006,Decrease
Q59EK9,14.25904,17.35918,-3.100139999999998,3.100139999999998,Decrease
P51674,12.24838,15.34482,-3.096440000000001,3.096440000000001,Decrease
Q99811,13.08136,16.16039,-3.0790299999999995,3.0790299999999995,Decrease
O14513,16.29629,19.36069,-3.0644000000000027,3.0644000000000027,Decrease
O14976,12.93263,15.88024,-2.947610000000001,2.947610000000001,Decrease
Q76M96,12.79245,15.70099,-2.9085399999999986,2.9085399999999986,Decrease
