"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","small protein activating enzyme binding (GO:0044388)","1/5",0.00424314398899693,0.031823579917477,0,0,312.171875,1705.22350136349,"SAE1"
"2","deoxyribonuclease I activity (GO:0004530)","1/5",0.00424314398899693,0.031823579917477,0,0,312.171875,1705.22350136349,"DNASE1"
"3","endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)","1/14",0.0118381886593293,0.0591909432966465,0,0,96.0096153846154,425.939423953315,"DNASE1"
"4","bitter taste receptor activity (GO:0033038)","1/25",0.0210470025189845,0.0781076748797911,0,0,51.9765625,200.681358491182,"TAS2R41"
"5","taste receptor activity (GO:0008527)","1/31",0.026035891626597,0.0781076748797911,0,0,41.56875,151.654407895734,"TAS2R41"
"6","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)","1/57",0.047379217721655,0.118448044304138,0,0,22.2399553571429,67.8223360448511,"ACY1"
"7","double-stranded RNA binding (GO:0003725)","1/73",0.0602939507842242,0.129201323109052,0,0,17.2838541666667,48.5421105795226,"SUPV3L1"
"8","protein heterodimerization activity (GO:0046982)","1/188",0.148384309030891,0.249564541870495,0,0,6.61631016042781,12.6235869071749,"SAE1"
"9","DNA binding (GO:0003677)","2/811",0.149738725122297,0.249564541870495,0,0,3.16011536876803,6.00062721178311,"SUPV3L1;DNASE1"
"10","DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)","1/256",0.196752451084441,0.295128676626661,0,0,4.83529411764706,7.86126437450352,"ZNF875"
"11","protein serine/threonine kinase activity (GO:0004674)","1/344",0.255514790790882,0.348429260169384,0,0,3.57871720116618,4.88307008657375,"NEK10"
"12","transcription cis-regulatory region binding (GO:0000976)","1/549",0.377097687764713,0.471372109705891,0,0,2.21658302919708,2.16172482990561,"ZNF875"
"13","protein homodimerization activity (GO:0042803)","1/636",0.422822047713423,0.487871593515488,0,0,1.90433070866142,1.63925526174477,"SUPV3L1"
"14","RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)","1/1359",0.697829249765382,0.710528352091135,0,0,0.857188880706922,0.308400130387115,"ZNF875"
"15","RNA binding (GO:0003723)","1/1406",0.710528352091135,0.710528352091135,0,0,0.826423487544484,0.282427274734974,"SUPV3L1"
