"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","enzyme linked receptor protein signaling pathway (GO:0007167)","4/140",0.00354546328088904,0.308851596716363,0,0,6.84256055363322,38.6063181269412,"PTPRD;NPPC;EPHA6;INSRR"
"2","long-chain fatty acid biosynthetic process (GO:0042759)","2/30",0.00785517246635444,0.308851596716363,0,0,16.324302134647,79.1170860494964,"CYP2C9;ALOX12"
"3","potassium ion import across plasma membrane (GO:1990573)","2/42",0.0150210996236103,0.308851596716363,0,0,11.4201149425287,47.9450619932194,"KCNJ5;ATP4A"
"4","atrial cardiac muscle cell membrane repolarization (GO:0099624)","1/5",0.0220548810634028,0.308851596716363,0,0,56.5539772727273,215.709386871844,"KCNJ5"
"5","membrane repolarization during atrial cardiac muscle cell action potential (GO:0098914)","1/5",0.0220548810634028,0.308851596716363,0,0,56.5539772727273,215.709386871844,"KCNJ5"
"6","lipoxin metabolic process (GO:2001300)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"ALOX12"
"7","positive regulation of cholesterol storage (GO:0010886)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"APOB"
"8","regulation of tooth mineralization (GO:0070170)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"WNT6"
"9","meiotic DNA double-strand break formation (GO:0042138)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"SPO11"
"10","transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"PTPRD"
"11","positive regulation of tooth mineralization (GO:0070172)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"WNT6"
"12","negative regulation of meiotic cell cycle (GO:0051447)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"NPPC"
"13","monoterpenoid metabolic process (GO:0016098)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"CYP2C9"
"14","monoubiquitinated protein deubiquitination (GO:0035520)","1/6",0.0264078087841634,0.308851596716363,0,0,45.2409090909091,164.409785287206,"BAP1"
"15","arachidonic acid metabolic process (GO:0019369)","2/57",0.0266751713682864,0.308851596716363,0,0,8.29926854754441,30.0767322775149,"CYP2C9;ALOX12"
"16","icosanoid metabolic process (GO:0006690)","2/57",0.0266751713682864,0.308851596716363,0,0,8.29926854754441,30.0767322775149,"CYP2C9;ALOX12"
"17","lipoxin biosynthetic process (GO:2001301)","1/7",0.0307415794593238,0.308851596716363,0,0,37.6988636363636,131.272689391551,"ALOX12"
"18","chylomicron remnant clearance (GO:0034382)","1/7",0.0307415794593238,0.308851596716363,0,0,37.6988636363636,131.272689391551,"APOB"
"19","terpenoid metabolic process (GO:0006721)","1/7",0.0307415794593238,0.308851596716363,0,0,37.6988636363636,131.272689391551,"CYP2C9"
"20","snRNA transcription by RNA polymerase III (GO:0042796)","1/8",0.0350562761209563,0.308851596716363,0,0,32.3116883116883,108.270025214881,"SNAPC4"
"21","regulation of myeloid leukocyte differentiation (GO:0002761)","1/8",0.0350562761209563,0.308851596716363,0,0,32.3116883116883,108.270025214881,"BGLAP"
"22","ventricular cardiac muscle cell membrane repolarization (GO:0099625)","1/8",0.0350562761209563,0.308851596716363,0,0,32.3116883116883,108.270025214881,"KCNJ5"
"23","negative regulation of muscle cell apoptotic process (GO:0010656)","1/8",0.0350562761209563,0.308851596716363,0,0,32.3116883116883,108.270025214881,"ALOX12"
"24","negative regulation of amyloid-beta clearance (GO:1900222)","1/8",0.0350562761209563,0.308851596716363,0,0,32.3116883116883,108.270025214881,"CYP51A1"
"25","sterol metabolic process (GO:0016125)","2/70",0.0388981070206268,0.308851596716363,0,0,6.70824881676809,21.7804072763114,"CYP51A1;APOB"
"26","chylomicron remodeling (GO:0034371)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"APOB"
"27","organic acid catabolic process (GO:0016054)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"GADL1"
"28","positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"CASP4"
"29","unsaturated fatty acid biosynthetic process (GO:0006636)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"ALOX12"
"30","hepoxilin biosynthetic process (GO:0051122)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"ALOX12"
"31","hepoxilin metabolic process (GO:0051121)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"ALOX12"
"32","response to vitamin (GO:0033273)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"BGLAP"
"33","response to vitamin D (GO:0033280)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"BGLAP"
"34","negative regulation of platelet aggregation (GO:0090331)","1/9",0.0393519815341948,0.308851596716363,0,0,28.2713068181818,91.4635848106468,"ALOX12"
"35","fatty acid biosynthetic process (GO:0006633)","2/71",0.0399121511597595,0.308851596716363,0,0,6.61069465267366,21.293539715887,"CYP2C9;ALOX12"
"36","lipoprotein transport (GO:0042953)","1/10",0.0436287781768768,0.308851596716363,0,0,25.1287878787879,78.7043259793786,"APOB"
"37","sulfur amino acid catabolic process (GO:0000098)","1/10",0.0436287781768768,0.308851596716363,0,0,25.1287878787879,78.7043259793786,"GADL1"
"38","receptor guanylyl cyclase signaling pathway (GO:0007168)","1/10",0.0436287781768768,0.308851596716363,0,0,25.1287878787879,78.7043259793786,"NPPC"
"39","cGMP biosynthetic process (GO:0006182)","1/10",0.0436287781768768,0.308851596716363,0,0,25.1287878787879,78.7043259793786,"NPPC"
"40","chylomicron assembly (GO:0034378)","1/10",0.0436287781768768,0.308851596716363,0,0,25.1287878787879,78.7043259793786,"APOB"
"41","omega-hydroxylase P450 pathway (GO:0097267)","1/10",0.0436287781768768,0.308851596716363,0,0,25.1287878787879,78.7043259793786,"CYP2C9"
"42","presynaptic membrane assembly (GO:0097105)","1/10",0.0436287781768768,0.308851596716363,0,0,25.1287878787879,78.7043259793786,"PTPRD"
"43","cholesterol metabolic process (GO:0008203)","2/77",0.0462026258184757,0.308851596716363,0,0,6.08,18.6942893713997,"CYP51A1;APOB"
"44","inorganic cation import across plasma membrane (GO:0098659)","2/77",0.0462026258184757,0.308851596716363,0,0,6.08,18.6942893713997,"KCNJ5;ATP4A"
"45","lipoprotein localization (GO:0044872)","1/11",0.0478867482017098,0.308851596716363,0,0,22.6147727272727,68.7244052686329,"APOB"
"46","axonal transport of mitochondrion (GO:0019896)","1/11",0.0478867482017098,0.308851596716363,0,0,22.6147727272727,68.7244052686329,"TRAK1"
"47","negative regulation of homotypic cell-cell adhesion (GO:0034111)","1/11",0.0478867482017098,0.308851596716363,0,0,22.6147727272727,68.7244052686329,"ALOX12"
"48","cardiac muscle cell membrane repolarization (GO:0099622)","1/11",0.0478867482017098,0.308851596716363,0,0,22.6147727272727,68.7244052686329,"KCNJ5"
"49","presynaptic membrane organization (GO:0097090)","1/11",0.0478867482017098,0.308851596716363,0,0,22.6147727272727,68.7244052686329,"PTPRD"
"50","positive regulation of lipid localization (GO:1905954)","1/11",0.0478867482017098,0.308851596716363,0,0,22.6147727272727,68.7244052686329,"APOB"
"51","ephrin receptor signaling pathway (GO:0048013)","2/82",0.051703252749938,0.308851596716363,0,0,5.69856321839081,16.880481042276,"EPHA6;ARPC5"
"52","cGMP metabolic process (GO:0046068)","1/12",0.0521259734586204,0.308851596716363,0,0,20.5578512396694,60.7297823131106,"NPPC"
