"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","low-density lipoprotein particle (GO:0034362)","1/7",0.0307415794593238,0.646019277891846,0,0,37.6988636363636,131.272689391551,"APOB"
"2","protein kinase complex (GO:1902911)","1/7",0.0307415794593238,0.646019277891846,0,0,37.6988636363636,131.272689391551,"INSRR"
"3","mitochondrial respiratory chain complex III (GO:0005750)","1/9",0.0393519815341948,0.646019277891846,0,0,28.2713068181818,91.4635848106468,"CYC1"
"4","chylomicron (GO:0042627)","1/10",0.0436287781768768,0.646019277891846,0,0,25.1287878787879,78.7043259793786,"APOB"
"5","triglyceride-rich plasma lipoprotein particle (GO:0034385)","1/15",0.0647319939567834,0.646019277891846,0,0,16.1501623376623,44.2110645976649,"APOB"
"6","very-low-density lipoprotein particle (GO:0034361)","1/15",0.0647319939567834,0.646019277891846,0,0,16.1501623376623,44.2110645976649,"APOB"
"7","Golgi lumen (GO:0005796)","2/100",0.0732536203857354,0.646019277891846,0,0,4.6476659629369,12.1481976031779,"WNT6;BGLAP"
"8","smooth endoplasmic reticulum (GO:0005790)","1/19",0.081282500607778,0.646019277891846,0,0,12.5587121212121,31.5201637504627,"APOB"
"9","endocytic vesicle lumen (GO:0071682)","1/21",0.0894488230927171,0.646019277891846,0,0,11.3017045454545,27.2833164006048,"APOB"
"10","endosome lumen (GO:0031904)","1/26",0.109551954738585,0.712087705800802,0,0,9.03909090909091,19.9886512585998,"APOB"
"11","endoplasmic reticulum lumen (GO:0005788)","3/285",0.134064150104784,0.724107089182645,0,0,2.42812963879268,4.87917320059754,"WNT6;BGLAP;APOB"
"12","endocytic vesicle membrane (GO:0030666)","2/158",0.156231457500134,0.724107089182645,0,0,2.91114058355438,5.40428990629713,"WNT6;APOB"
"13","chromosome (GO:0005694)","2/160",0.15934668965966,0.724107089182645,0,0,2.87399970900626,5.27859770305126,"BRME1;SPO11"
"14","actin cytoskeleton (GO:0015629)","3/316",0.166513777957907,0.724107089182645,0,0,2.18418901850063,3.91554590307304,"ABLIM1;IPP;ARPC5"
"15","endocytic vesicle (GO:0030139)","2/189",0.205617668701232,0.724107089182645,0,0,2.42473415698568,3.83529127500758,"WNT6;APOB"
"16","sarcolemma (GO:0042383)","1/52",0.207222529570676,0.724107089182645,0,0,4.42513368983957,6.96499245441729,"ALOX12"
"17","basement membrane (GO:0005604)","1/52",0.207222529570676,0.724107089182645,0,0,4.42513368983957,6.96499245441729,"MEGF9"
"18","azurophil granule membrane (GO:0035577)","1/58",0.228212126994081,0.724107089182645,0,0,3.95813397129187,5.84806259646722,"RAB44"
"19","platelet alpha granule lumen (GO:0031093)","1/67",0.25867040811566,0.724107089182645,0,0,3.41683884297521,4.6202514761953,"MAGED2"
"20","glutamatergic synapse (GO:0098978)","1/69",0.265275794950244,0.724107089182645,0,0,3.31600935828877,4.40029553557854,"PTPRD"
"21","clathrin-coated endocytic vesicle membrane (GO:0030669)","1/69",0.265275794950244,0.724107089182645,0,0,3.31600935828877,4.40029553557854,"APOB"
