"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725)","2/14",0.00179813231136682,0.33395468696959,0,0,37.2602996254682,235.522605721322,"CD80;CARD9"
"2","regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645)","2/16",0.0023571766245942,0.33395468696959,0,0,31.9341894060995,193.211129867077,"CD80;CARD9"
"3","modulation by host of symbiont process (GO:0051851)","2/32",0.00929390692412693,0.33395468696959,0,0,14.8906367041199,69.6642991100802,"CTDP1;CARD9"
"4","positive regulation of protein metabolic process (GO:0051247)","3/115",0.0155974276179355,0.33395468696959,0,0,6.02587256493506,25.0715423161877,"CD80;CARD9;SNF8"
"5","regulation of protein-containing complex assembly (GO:0043254)","3/116",0.015959811621182,0.33395468696959,0,0,5.9722445695897,24.7112458106237,"ABCA1;ICE1;SEPTIN8"
"6","positive regulation of response to stimulus (GO:0048584)","2/46",0.0186129887586472,0.33395468696959,0,0,10.1455566905005,40.4188388781603,"RSAD2;CD80"
"7","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"SNF8"
"8","establishment of protein localization to vacuole (GO:0072666)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"SNF8"
"9","alpha-beta T cell differentiation (GO:0046632)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"RSAD2"
"10","glucuronate catabolic process (GO:0006064)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"AKR1A1"
"11","glucuronate catabolic process to xylulose 5-phosphate (GO:0019640)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"AKR1A1"
"12","positive regulation of toll-like receptor 9 signaling pathway (GO:0034165)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"RSAD2"
"13","dephosphorylation of RNA polymerase II C-terminal domain (GO:0070940)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"CTDP1"
"14","proline transmembrane transport (GO:0035524)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"SLC6A20"
"15","CD4-positive, alpha-beta T cell activation (GO:0035710)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"RSAD2"
"16","xylulose 5-phosphate biosynthetic process (GO:1901159)","1/5",0.0225459880333307,0.33395468696959,0,0,55.2916666666667,209.676955663718,"AKR1A1"
"17","mitochondrial transport (GO:0006839)","2/56",0.0268971580939329,0.33395468696959,0,0,8.26258843112776,29.875327247979,"TOMM70;BNIP3"
"18","regulation of SNARE complex assembly (GO:0035542)","1/6",0.0269944994833615,0.33395468696959,0,0,44.2311111111111,159.76817645418,"SEPTIN8"
