"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","protein tyrosine kinase inhibitor activity (GO:0030292)","1/5",0.0225459880333307,0.288645721420939,0,0,55.2916666666667,209.676955663718,"IBTK"
"2","phosphatidylcholine floppase activity (GO:0090554)","1/5",0.0225459880333307,0.288645721420939,0,0,55.2916666666667,209.676955663718,"ABCA1"
"3","apolipoprotein A-I binding (GO:0034186)","1/5",0.0225459880333307,0.288645721420939,0,0,55.2916666666667,209.676955663718,"ABCA1"
"4","RNA polymerase II CTD heptapeptide repeat phosphatase activity (GO:0008420)","1/7",0.0314229882270154,0.288645721420939,0,0,36.8574074074074,127.534574051713,"CTDP1"
"5","branched-chain amino acid transmembrane transporter activity (GO:0015658)","1/7",0.0314229882270154,0.288645721420939,0,0,36.8574074074074,127.534574051713,"SLC6A20"
"6","L-proline transmembrane transporter activity (GO:0015193)","1/7",0.0314229882270154,0.288645721420939,0,0,36.8574074074074,127.534574051713,"SLC6A20"
"7","NADH dehydrogenase activity (GO:0003954)","1/7",0.0314229882270154,0.288645721420939,0,0,36.8574074074074,127.534574051713,"NDUFS8"
"8","Tat protein binding (GO:0030957)","1/10",0.0445892046624482,0.288645721420939,0,0,24.5679012345679,76.4126464122397,"CTDP1"
"9","alditol:NADP+ 1-oxidoreductase activity (GO:0004032)","1/11",0.0489384874443283,0.288645721420939,0,0,22.11,66.7100958350566,"AKR1A1"
"10","amino acid:sodium symporter activity (GO:0005283)","1/11",0.0489384874443283,0.288645721420939,0,0,22.11,66.7100958350566,"SLC6A20"
"11","quaternary ammonium group transmembrane transporter activity (GO:0015651)","1/11",0.0489384874443283,0.288645721420939,0,0,22.11,66.7100958350566,"SLC6A20"
"12","mechanosensitive ion channel activity (GO:0008381)","1/12",0.0532681882881209,0.288645721420939,0,0,20.0989898989899,58.9385989328531,"TMC5"
"13","4 iron, 4 sulfur cluster binding (GO:0051539)","1/14",0.0618691922291651,0.288645721420939,0,0,17.0051282051282,47.3207301581073,"RSAD2"
"14","gated channel activity (GO:0022836)","1/14",0.0618691922291651,0.288645721420939,0,0,17.0051282051282,47.3207301581073,"TMC5"
"15","Lys48-specific deubiquitinase activity (GO:1990380)","1/15",0.0661406684477664,0.288645721420939,0,0,15.7896825396825,42.8843272179431,"MINDY3"
"16","CARD domain binding (GO:0050700)","1/16",0.070392908933541,0.288645721420939,0,0,14.7362962962963,39.1051604994356,"CARD9"
"17","alcohol dehydrogenase (NADP+) activity (GO:0008106)","1/17",0.0746259993488433,0.288645721420939,0,0,13.8145833333333,35.8525227911179,"AKR1A1"
"18","cholesterol transfer activity (GO:0120020)","1/18",0.0788400249120094,0.288645721420939,0,0,13.0013071895425,33.0276689479732,"ABCA1"
"19","phosphatidylcholine transporter activity (GO:0008525)","1/18",0.0788400249120094,0.288645721420939,0,0,13.0013071895425,33.0276689479732,"ABCA1"
"20","NAD-retinol dehydrogenase activity (GO:0004745)","1/19",0.0830350705457495,0.288645721420939,0,0,12.2783950617284,30.5546906310359,"AKR1A1"
"21","sterol transfer activity (GO:0120015)","1/19",0.0830350705457495,0.288645721420939,0,0,12.2783950617284,30.5546906310359,"ABCA1"
"22","SH2 domain binding (GO:0042169)","1/32",0.135881443350244,0.431115733285744,0,0,7.1247311827957,14.2207676069662,"SIT1"
"23","neutral amino acid transmembrane transporter activity (GO:0015175)","1/32",0.135881443350244,0.431115733285744,0,0,7.1247311827957,14.2207676069662,"SLC6A20"
"24","NADH dehydrogenase (quinone) activity (GO:0050136)","1/35",0.147642374412926,0.431115733285744,0,0,6.49509803921569,12.4248778039803,"NDUFS8"
"25","NADH dehydrogenase (ubiquinone) activity (GO:0008137)","1/35",0.147642374412926,0.431115733285744,0,0,6.49509803921569,12.4248778039803,"NDUFS8"
"26","signal sequence binding (GO:0005048)","1/42",0.174472441534073,0.473756449226698,0,0,5.38428184281843,9.40089405977471,"TOMM70"
"27","protein kinase inhibitor activity (GO:0004860)","1/43",0.178236490994681,0.473756449226698,0,0,5.25582010582011,9.06441866001727,"IBTK"
"28","cation transmembrane transporter activity (GO:0008324)","1/48",0.196803627086837,0.473756449226698,0,0,4.69550827423168,7.63277814208722,"SLC6A20"
"29","amino acid transmembrane transporter activity (GO:0015171)","1/49",0.200466957331492,0.473756449226698,0,0,4.5974537037037,7.38859472925095,"SLC6A20"
"30","cholesterol binding (GO:0015485)","1/50",0.204113762093119,0.473756449226698,0,0,4.50340136054422,7.15625505110662,"ABCA1"
"31","L-amino acid transmembrane transporter activity (GO:0015179)","1/53",0.214955759333988,0.473756449226698,0,0,4.24294871794872,6.52278283253575,"SLC6A20"
"32","calcium ion transmembrane transporter activity (GO:0015085)","1/55",0.222102473143668,0.473756449226698,0,0,4.08539094650206,6.14694627110913,"PKDREJ"
"33","carboxylic acid transmembrane transporter activity (GO:0046943)","1/57",0.229184834720641,0.473756449226698,0,0,3.9390873015873,5.80316765068165,"SLC6A20"
"34","GTPase binding (GO:0051020)","2/201",0.232602225634894,0.473756449226698,0,0,2.22573541866637,3.24606922503375,"ABCA1;BNIP3"
"35","oxidoreduction-driven active transmembrane transporter activity (GO:0015453)","1/58",0.232702062732142,0.473756449226698,0,0,3.86978557504873,5.6421332219254,"NDUFS8"
"36","sterol binding (GO:0032934)","1/60",0.239688968958832,0.473756449226698,0,0,3.73822975517891,5.33973657290606,"ABCA1"
"37","protein serine/threonine phosphatase activity (GO:0004722)","1/62",0.246612946172802,0.473756449226698,0,0,3.61530054644809,5.06118646085781,"CTDP1"
