"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"1","CYP51A1 CYP51",4.99753418672404,3.35088302642404,TRUE
"2","MAGED2 BCG1",4.66073577221497,1.31850368404679,TRUE
"3","C12orf40",4.63337390162805,2.19725844791826,TRUE
"4","MTFR1 CHPPR FAM54A2 KIAA0009",4.53719563898154,1.86737980397154,TRUE
"5","WNT6",4.44810541170763,1.68731607014645,TRUE
"6","TANGO6 KIAA1746 TMCO7",4.40764287268163,2.04180689612527,TRUE
"7","ALOX12 12LO LOG12",4.31367492236005,1.38455375352022,TRUE
"8","TCOF1",4.29630580493195,1.89496613228777,TRUE
"9","ARPC5 ARC16",4.13718492532677,2.02716520515741,TRUE
"10","ZNFX1 KIAA1404",3.84012859194041,2.96958464771029,TRUE
"11","SNAPC4 SNAP190",3.50623027174482,1.40390778228011,TRUE
"12","BRME1 C19orf57",3.44434092850523,1.82319437026552,TRUE
"13","CYP2C9 CYP2C10",3.38637655090936,1.40315355994773,TRUE
"14","PTPRD",3.26199804299543,1.63287119245128,TRUE
"15","EPRS1 EPRS GLNS PARS QARS QPRS PIG32",3.18244166600755,2.15496920496646,TRUE
"16","EXOC8",-2.84123132476834,1.47227744546887,TRUE
"17","TMEM132C",-2.93898357178656,2.02491971097231,TRUE
"18","BGLAP",-3.03322444020739,1.44402955299682,TRUE
"19","TMC8 EVER2 EVIN2",-3.161280495155,1.4684667248144,TRUE
"20","CASP4 ICH2",-3.23130784058134,1.73845299119574,TRUE
"21","KCNJ5 GIRK4",-3.23971825176233,3.00046984959491,TRUE
"22","TRAK1 KIAA1042 OIP106",-3.24947753350747,1.41491710746169,TRUE
"23","GADL1",-3.29139723188796,1.38377060750182,TRUE
"24","LARP1B LARP2",-3.44535094163956,1.38091205547192,TRUE
"25","RBMY1A1 RBM1 RBM2 YRRM1 YRRM2",-3.52719434399472,1.78109574742972,TRUE
"26","APOB",-3.54040618544803,1.56070929812701,TRUE
"27","IPP KLHL27",-3.55568758866236,2.82795054669286,TRUE
"28","CYC1",-3.66510116511418,3.30451344085055,TRUE
"29","ATP4A",-3.7052724855138,1.61658237119474,TRUE
"30","MEGF9 EGFL5 KIAA0818 UNQ671/PRO1305",-4.03091035249812,2.03996490651415,TRUE
"31","MLLT6 AF17",-4.05184020213152,3.00626999894103,TRUE
"32","GTPBP8",-4.22176602525137,1.35655910544509,TRUE
"33","MAGI1 AIP3 BAIAP1 BAP1 TNRC19",-4.24456609664717,1.79307107716406,TRUE
"34","RAB44",-4.30166367816041,1.31081861074071,TRUE
"35","EPHA6 EHK2 HEK12",-4.33423075764856,1.37996598054728,TRUE
"36","INSRR IRR",-4.3938975227452,1.85710307919727,TRUE
"37","SPO11",-4.63271144975116,3.35088302642404,TRUE
"38","ABLIM1 ABLIM KIAA0059 LIMAB1",-4.6429730266842,3.35088302642404,TRUE
"39","NPPC CNP2",-4.71502924892313,1.61201159593336,TRUE
"40","ARHGEF12 KIAA0382 LARG",-5.48961758757512,3.35088302642404,TRUE
"41","RPS20",4.47318326436089,0.927868287817684,FALSE
"42","AKAP9 AKAP350 AKAP450 KIAA0803",4.03679384306768,0.226980316580568,FALSE
"43","OAS3 P/OKcl.4",3.86640917639649,0.395093888658963,FALSE
"44","BRD9 UNQ3040/PRO9856",3.75450078260817,0.499443947367291,FALSE
"45","ZNF599",3.74375354581539,0.89799225273454,FALSE
"46","LMAN1L ERGL UNQ2784/PRO7174",3.62350409261488,0.199768748698553,FALSE
"47","SDAD1 NUC130",3.61549722022865,0.502668526400893,FALSE
"48","ZNF560",3.60209704884965,1.22812726092031,FALSE
"49","DPYSL5 CRMP5 ULIP6",3.57772189924583,0.345970331227686,FALSE
"50","DNAH14 C1orf67",3.57713931011519,0.522185761781534,FALSE
"51","NNMT",3.56205766728183,0.771564904992237,FALSE
"52","PDE7A",3.55784435256538,0.385012370065778,FALSE
"53","IGKC",3.47275854418811,0.205476272643842,FALSE
"54","PECR SDR29C1 PRO1004",3.43696621754705,0.49648496973225,FALSE
"55","PSMA7 HSPC",3.43366098562112,1.0531520217975,FALSE
"56","FAM122C",3.39502800527439,0.485425636217119,FALSE
"57","CTPS2",3.35482193717744,0.959952757080574,FALSE
"58","RNF17 TDRD4",3.32881456085233,0.700084420927192,FALSE
"59","MICALCL",3.32876207614331,0.523514850150159,FALSE
"60","SORD",3.31650012888341,0.282676988872327,FALSE
"61","OLFML2A UNQ9394/PRO34319",3.31119678407806,0.880693462828262,FALSE
"62","COL4A6",3.29860645134777,0.433006183547532,FALSE
"63","ZNF708 KOX8 ZNF15 ZNF15L1",3.29073364913506,0.577298177129407,FALSE
"64","SLAMF9 CD2F10 UNQ1938/PRO4421",3.26990869498906,0.805584955970783,FALSE
"65","MAP2",3.26262482045987,0.795520298840065,FALSE
"66","COL4A2",3.2130874868164,0.307431678181857,FALSE
"67","APOF",3.16046698193666,0.399512459715705,FALSE
"68","RNF6 SPG2",3.11387833986413,0.712567636676499,FALSE
"69","AHRR BHLHE77 KIAA1234",3.11267400315586,0.12606537107908,FALSE
"70","PTDSS1 KIAA0024 PSSA",3.07334635432497,0.751837760106143,FALSE
"71","GDPD4 GDE6 UGPQ",3.04058395145939,0.356511370324487,FALSE
"72","DCLRE1B SNM1B",3.03468399377122,1.13782493018154,FALSE
"73","ITGA1",3.03020765134498,1.18397115817442,FALSE
"74","ZNF404",3.01920528195736,0.507996626015473,FALSE
"75","ZNF30 KOX28",3.01735880497898,0.753914549222043,FALSE
"76","GABRA2",3.01610842991203,0.934559170303016,FALSE
"77","TBX15 TBX14",3.01045543347002,0.363929547510114,FALSE
