"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"1","APOF",5.98085188044525,1.62070998611676,TRUE
"2","CYP51A1 CYP51",4.89400567025045,2.29139138869552,TRUE
"3","ARPC5 ARC16",4.42289402558354,1.71624579340668,TRUE
"4","MAP3K19 RCK YSK4",4.12342356214563,1.80017607642978,TRUE
"5","EIF2S2 EIF2B",4.11621316730056,1.35259479522522,TRUE
"6","NUFIP2 KIAA1321 PIG1",4.09203775883481,1.5269080682315,TRUE
"7","LRRC24",3.9990046101377,1.51286915169436,TRUE
"8","KCNJ5 GIRK4",-3.28913809761946,2.20483196292812,TRUE
"9","IPP KLHL27",-3.35533364282161,1.6970516085615,TRUE
"10","TMEM132C",-3.41175263593987,2.14624999545245,TRUE
"11","GOLGA4",-3.53052070025516,1.36639113717357,TRUE
"12","RBMY1A1 RBM1 RBM2 YRRM1 YRRM2",-3.75934381898865,1.46927182180123,TRUE
"13","SRXN1 C20orf139 SRX SRX1",-3.75959779700131,1.61048692557832,TRUE
"14","TMC8 EVER2 EVIN2",-3.83052882192446,1.69372796267482,TRUE
"15","PRRG1 PRGP1 TMG1",-3.93270141671769,1.87568052852316,TRUE
"16","ATP4A",-3.96528018509145,1.31840303921987,TRUE
"17","BGLAP",-4.17801765521323,2.2860872699205,TRUE
"18","ABLIM1 ABLIM KIAA0059 LIMAB1",-4.45559787970143,2.26007511895867,TRUE
"19","MLLT6 AF17",-4.46094240076038,2.59547335751892,TRUE
"20","SPO11",-4.87653244933779,2.73550099993938,TRUE
"21","CYC1",-4.99049847305938,5.24361362774621,TRUE
"22","RECK ST15",-5.02186419716806,2.07537075468685,TRUE
"23","INSRR IRR",-5.48994054429166,2.30524891918798,TRUE
"24","ARHGEF12 KIAA0382 LARG",-6.66937398076007,4.18900891661053,TRUE
"25","USP31 KIAA1203",5.41643948136545,1.1847394403721,FALSE
"26","IGKC",4.32090311377103,0.172486112967132,FALSE
"27","POM121 KIAA0618 NUP121 POM121A",4.17227700143259,0.655200557505098,FALSE
"28","PDE7A",4.13615291653073,0.273252005850724,FALSE
"29","PSMA7 HSPC",4.07883947957292,1.08179979844188,FALSE
"30","ALOX12 12LO LOG12",4.00134818961265,0.661855386116406,FALSE
"31","VCAM1",3.94203568881716,0.54896675366441,FALSE
"32","EXOSC9 PMSCL1",3.85163666454131,0.188312083903326,FALSE
"33","CTPS2",3.62639187019724,0.688057627181195,FALSE
"34","IFT172 KIAA1179",3.53475685033496,0.116521250491415,FALSE
"35","ANKRD36C",3.45967201230056,0.617819390352188,FALSE
"36","TNRC6C KIAA1582",3.4542604471996,0.113177101113235,FALSE
"37","EPPK1 EPIPL",3.42133341896982,0.0588699004950107,FALSE
"38","EZH1 KIAA0388",3.41368113178116,0.462088036186977,FALSE
"39","EFEMP2 FBLN4 UNQ200/PRO226",3.36690732611286,0.140833551832347,FALSE
"40","ARPC1A SOP2L",3.36367963281601,0.186967848748439,FALSE
"41","WNT6",3.35758136402322,0.414377058581835,FALSE
"42","TIGD7",3.35119876344624,0.29805447028935,FALSE
"43","MMP9 CLG4B",3.31714855957939,0.272990595680055,FALSE
"44","SPIN4",3.29537010930214,0.403434588392709,FALSE
"45","GPRIN3 KIAA2027",3.27205957426455,0.106208864285948,FALSE
"46","SAP30L NS4ATP2",3.22183808020835,0.552050077559261,FALSE
"47","TCOF1",3.21407782399277,0.485580081267853,FALSE
"48","PTDSS1 KIAA0024 PSSA",3.18323314713104,0.415091036989404,FALSE
"49","USP34 KIAA0570 KIAA0729",3.17375838539053,0.339260920172733,FALSE
"50","PECR SDR29C1 PRO1004",3.15209624608668,0.137206109074783,FALSE
"51","HIF1A BHLHE78 MOP1 PASD8",3.147850011257,0.0978987078599783,FALSE
"52","SORD",3.08477039043295,0.0815492493271583,FALSE
"53","TAS2R41",3.06274769323496,0.755253942234531,FALSE
"54","MYCBP2 KIAA0916 PAM",3.06189471134532,0.0932631175243746,FALSE
"55","NIBAN1 C1orf24 FAM129A NIBAN GIG39",3.03894091148753,0.675758018516841,FALSE
"56","RNF17 TDRD4",3.03027709340965,0.208188477658475,FALSE
"57","TPTE2P1",3.00122700087876,0.387806017689101,FALSE
"58","SHROOM2 APXL",2.99457415511878,0.186142541735841,FALSE
"59","GRIA3 GLUR3 GLURC",2.99418864796305,0.305163640699329,FALSE
"60","SNAPC4 SNAP190",2.97078925110979,0.485615296531456,FALSE
"61","QARS1 QARS",2.94993488426704,1.04922896617892,FALSE
"62","ARL6IP1 ARL6IP ARMER KIAA0069",2.93751633726718,0.0827556213374843,FALSE
"63","EPRS1 EPRS GLNS PARS QARS QPRS PIG32",2.88102406470093,1.14232529720468,FALSE
"64","LMAN1L ERGL UNQ2784/PRO7174",2.85473859496028,0.0395657618889911,FALSE
