"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"1","NEK10",5.08084708870554,1.48093140871587,TRUE
"2","ZNF875 HKR1",4.83903376466605,1.3799147418736,TRUE
"3","ACY1",4.69003385288342,2.74472344358241,TRUE
"4","DNASE1 DNL1 DRNI",4.44207032102077,1.38996508852231,TRUE
"5","SAE1 AOS1 SUA1 UBLE1A",3.38146108932968,1.38998272069547,TRUE
"6","SUPV3L1 SUV3",3.18779643145104,1.32635782354098,TRUE
"7","MAP3K19 RCK YSK4",-4.31675862196123,1.39350505128595,TRUE
"8","TAS2R41",-4.33969696694731,1.42918556637733,TRUE
"9","NAA35 EGAP MAK10",5.00069402291981,1.00051638600927,FALSE
"10","MTFR1 CHPPR FAM54A2 KIAA0009",4.72423367350375,1.0357536495139,FALSE
"11","ZBTB38",4.45682580822612,1.06558430745566,FALSE
"12","BCL3 BCL4 D19S37",4.31029733650716,0.0632147623812769,FALSE
"13","NKX2-8 NKX-2.8 NKX2G NKX2H",4.04702680707332,0.165646525522579,FALSE
"14","SLAMF9 CD2F10 UNQ1938/PRO4421",3.98325253237133,0.446318793365634,FALSE
"15","OAS3 P/OKcl.4",3.94437294125165,0.0483678336322618,FALSE
"16","PLA2G2A PLA2B PLA2L RASF-A",3.81243510131102,1.03476407084239,FALSE
"17","IP6K2 IHPK2 TCCCIA00113",3.76401571860201,0.0312576188438884,FALSE
"18","VWDE",3.72299225938096,1.10140989894705,FALSE
"19","ICE1 KIAA0947",3.63788399167258,0.399924435915155,FALSE
"20","SRP54",3.62062369060724,0.0324258437047034,FALSE
"21","ADCK1",3.55387703455303,0.237247782220643,FALSE
"22","DNAH14 C1orf67",3.52644451901727,0.0604365183573169,FALSE
"23","CKAP2L",3.52107711975986,0.0657544279712853,FALSE
"24","RFX3",3.49966351919417,0.0664154620450676,FALSE
"25","ZNF528 KIAA1827",3.48745937440386,0.246733774311591,FALSE
"26","ST14 PRSS14 SNC19 TADG15",3.45708618865045,0.124017779127764,FALSE
"27","PCDH18 KIAA1562",3.41142631663375,0.0516223779704154,FALSE
"28","SEMA4F SEMAM SEMAW",3.39974215938557,0.057683650096054,FALSE
"29","ZNFX1 KIAA1404",3.37530020941366,1.04173697491759,FALSE
"30","TSSK2 DGSG SPOGA2 STK22B",3.37291657702279,1.00865269361811,FALSE
"31","HCAR3 GPR109B HCA3 HM74B NIACR2",3.34402709311766,0.0368632269880011,FALSE
"32","IFT80 KIAA1374 WDR56",3.33047352102739,1.06605907577671,FALSE
"33","TPR",3.31798642199153,0.164723652607871,FALSE
